,,,,,,,,,,,,,,,,,,,,,GM_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,STID,Earthquake Name,Magnitude,Location,Date,Time,Mag_Type,faultType,Depth,Repi,Rfault,PGA,APKV2,VPK,DPK,SA03,SA1,SA3,Stracc,Event_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36
1,CE01699,Anza Earthquake of 12 Jun 2005,5.2,"6 mi. ESE of Anza, CA",12/06/2005,08:41:46 AM PDT,ML,SS,13.1,125.1,-9999,0.028,0.028,1.65,0.1,0.072,0.01,0.001,0.058,14151344,GM_Z_1_1_14151344,GM_Y_1_2_14151344,GM_X_1_3_14151344,GM_Y_1_4_14151344,GM_Y_1_5_14151344,GM_Y_1_6_14151344,GM_X_1_7_14151344,GM_Y_1_8_14151344,GM_Y_1_9_14151344,GM_Y_1_10_14151344,GM_Y_1_11_14151344,GM_X_1_12_14151344,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Cerro Prieto Earthquake of 11 Feb 2008,5.1,"24 mi SSE of Calexico, CA",11/02/2008,10:29:32 AM PST,ML,SS,7,50.4,-9999,0.025,0.025,1.21,0.3,0.068,0.018,0.003,0.095,14348196,GM_Z_1_1_14348196,GM_Y_1_2_14348196,GM_X_1_3_14348196,GM_Y_1_4_14348196,GM_Y_1_5_14348196,GM_Y_1_6_14348196,GM_X_1_7_14348196,GM_Y_1_8_14348196,GM_Y_1_9_14348196,GM_Y_1_10_14348196,GM_Y_1_11_14348196,GM_X_1_12_14348196,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Cerro Prieto Earthquake of 08 Feb 2008,5.4,"19 mi SE of Calexico, CA",08/02/2008,11:12:07 PM PST,ML,SS,7,47.9,-9999,0.059,0.058,2.8,0.4,0.079,0.039,0.005,0.119,14346868,GM_Z_1_1_14346868,GM_Y_1_2_14346868,GM_X_1_3_14346868,GM_Y_1_4_14346868,GM_Y_1_5_14346868,GM_Y_1_6_14346868,GM_X_1_7_14346868,GM_Y_1_8_14346868,GM_Y_1_9_14346868,GM_Y_1_10_14346868,GM_Y_1_11_14346868,GM_X_1_12_14346868,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calexico Area Earthquake of 20 Nov 2008,5,"26 mi SSE of Calexico, CA",20/11/2008,11:23:00 AM PST,ML,SS,6,54.8,-9999,0.021,0.021,1.44,0.1,0.034,0.018,0.001,0.081,14404512,GM_Z_1_1_14404512,GM_Y_1_2_14404512,GM_X_1_3_14404512,GM_Y_1_4_14404512,GM_Y_1_5_14404512,GM_Y_1_6_14404512,GM_X_1_7_14404512,GM_Y_1_8_14404512,GM_Y_1_9_14404512,GM_Y_1_10_14404512,GM_Y_1_11_14404512,GM_X_1_12_14404512,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calexico Area Earthquake of 27 Dec 2008,4.5,"8 mi S of Calexico, CA",27/12/2008,9:17:07 PM PST,ML,SS,10,23.7,-9999,0.02,0.02,1.15,0.1,0.023,0.008,0.001,0.072,10368325,GM_Z_1_1_10368325,GM_Y_1_2_10368325,GM_X_1_3_10368325,GM_Y_1_4_10368325,GM_Y_1_5_10368325,GM_Y_1_6_10368325,GM_X_1_7_10368325,GM_Y_1_8_10368325,GM_Y_1_9_10368325,GM_Y_1_10_10368325,GM_Y_1_11_10368325,GM_X_1_12_10368325,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calexico Earthquake of 19 Sep 2009,5.1,"25 mi SSE of Calexico, CA",19/09/2009,3:55:17 PM PDT,Mw,SS,10,54,-9999,0.011,0.011,0.72,0.1,0.035,0.007,0.001,0.032,14512436,GM_Z_1_1_14512436,GM_Y_1_2_14512436,GM_X_1_3_14512436,GM_Y_1_4_14512436,GM_Y_1_5_14512436,GM_Y_1_6_14512436,GM_X_1_7_14512436,GM_Y_1_8_14512436,GM_Y_1_9_14512436,GM_Y_1_10_14512436,GM_Y_1_11_14512436,GM_X_1_12_14512436,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calexico Area Earthquake of 30 Dec 2009,5.8,"23 mi SE of Calexico, CA",30/12/2009,10:48:57 AM PST,Mw,SS,6,49.3,-9999,0.116,0.116,10.46,1.4,0.378,0.119,0.012,0.278,14565620,GM_Z_1_1_14565620,GM_Y_1_2_14565620,GM_X_1_3_14565620,GM_Y_1_4_14565620,GM_Y_1_5_14565620,GM_Y_1_6_14565620,GM_X_1_7_14565620,GM_Y_1_8_14565620,GM_Y_1_9_14565620,GM_Y_1_10_14565620,GM_Y_1_11_14565620,GM_X_1_12_14565620,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calexico Earthquake of 04 Apr 2010,7.2,"30.8 mi SSE of Calexico, CA",04/04/2010,3:40:42 PM PDT,ML,SS,10,63.6,26.1,-9999,-1,-1,-1,-1,-1,-1,0.932,14607652,GM_Z_1_1_14607652,GM_Y_1_2_14607652,GM_X_1_3_14607652,GM_Y_1_4_14607652,GM_Y_1_5_14607652,GM_Y_1_6_14607652,GM_X_1_7_14607652,GM_Y_1_8_14607652,GM_Y_1_9_14607652,GM_Y_1_10_14607652,GM_Y_1_11_14607652,GM_X_1_12_14607652,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calexico Area Earthquake of 22 May 2010,4.9,"16 mi WSW of Calexico, CA",22/05/2010,10:30:57 AM PDT,Mw,SS,5.4,27.3,-9999,0.06,0.059,2.54,0.2,0.087,0.026,0.001,0.15,14718756,GM_Z_1_1_14718756,GM_Y_1_2_14718756,GM_X_1_3_14718756,GM_Y_1_4_14718756,GM_Y_1_5_14718756,GM_Y_1_6_14718756,GM_X_1_7_14718756,GM_Y_1_8_14718756,GM_Y_1_9_14718756,GM_Y_1_10_14718756,GM_Y_1_11_14718756,GM_X_1_12_14718756,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Ocotillo Area Earthquake of 14 Jun 2010,5.7,"5 mi SE of Ocotillo, CA",14/06/2010,9:26:58 PM PDT,ML,SS,6.9,34.6,-9999,0.065,0.064,3.95,1.7,0.153,0.034,0.016,0.181,14745580,GM_Z_1_1_14745580,GM_Y_1_2_14745580,GM_X_1_3_14745580,GM_Y_1_4_14745580,GM_Y_1_5_14745580,GM_Y_1_6_14745580,GM_X_1_7_14745580,GM_Y_1_8_14745580,GM_Y_1_9_14745580,GM_Y_1_10_14745580,GM_Y_1_11_14745580,GM_X_1_12_14745580,,,,,,,,,,,,,,,,,,,,,,,,
