STID,Sensor_ID,Sensor_Direction,Earthquake Name,Peak Acceleration,Log_Peak_Acceleration,Peak Velocity,Log_Peak_Velocity,Arias Intensity,Log_Arias_Intensity,Magnitude,PGA,Depth,Repi,Height (in),Breadth (in),Length (in),Stories,Total_Height (in),BDType,Base Length (in),Base Breadth (in),Typical Floor Length (in),Typical Floor Breadth (in)
CE23416,S12,X,Borrego Springs Earthquake of 10 Jun 2016,19.545,1.2910356747682659,1.366,0.1354506993455138,0.00523215,-2.281319817,5.2,0.015,12.3,126.9,756.0,3516.0,864.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S9,X,Borrego Springs Earthquake of 10 Jun 2016,18.865,1.2756568095370142,1.602,0.20466251174821887,0.006815568,-2.166497928,5.2,0.015,12.3,126.9,756.0,0.0,2448.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S6,X,Borrego Springs Earthquake of 10 Jun 2016,14.391,1.1580909731855595,1.273,0.10482840365365537,0.003862768,-2.413101366,5.2,0.015,12.3,126.9,576.0,0.0,2448.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S11,Y,Borrego Springs Earthquake of 10 Jun 2016,34.26,1.5347873586294916,2.94,0.46834733041215726,0.014720896,-1.832065741,5.2,0.015,12.3,126.9,756.0,1656.0,3156.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S14,Y,Borrego Springs Earthquake of 10 Jun 2016,68.513,1.8357729845230386,5.088,0.7065471026403575,0.048732949,-1.312177307,5.2,0.015,12.3,126.9,1116.0,1656.0,816.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S3,X,Borrego Springs Earthquake of 10 Jun 2016,9.659,0.9849321660674121,0.645,-0.190440285,0.001097072,-2.959765012,5.2,0.015,12.3,126.9,192.0,0.0,2448.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S5,Y,Borrego Springs Earthquake of 10 Jun 2016,14.46,1.160168292958512,1.184,0.073351702,0.002338976,-2.630974216,5.2,0.015,12.3,126.9,192.0,1656.0,3156.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S2,Y,Borrego Springs Earthquake of 10 Jun 2016,12.635,1.1015752462559336,1.048,0.020361282647707864,0.001970616,-2.705397907,5.2,0.015,12.3,126.9,0.0,2580.0,2340.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S7,Y,Borrego Springs Earthquake of 10 Jun 2016,27.284,1.4359080408591105,2.123,0.32694999416599885,0.008005101,-2.096633157,5.2,0.015,12.3,126.9,576.0,1656.0,816.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
CE23416,S13,X,Borrego Springs Earthquake of 10 Jun 2016,32.844,1.5164560434577485,2.112,0.32469391386177465,0.017190344,-1.764715422,5.2,0.015,12.3,126.9,1116.0,0.0,2448.0,5.0,924.0,STEEL,4752.0,3492.0,4752.0,3492.0
