Station,Event,Sensor File,Peak Acceleration (cm/s²),Peak Velocity (cm/s),Arias Intensity (m/s)
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_X_20_12_37374687.V2,19.545,1.366,0.005232149965078845
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_X_20_9_37374687.V2,18.865,1.602,0.006815568260854453
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_X_20_6_37374687.V2,14.391,1.273,0.003862768083662095
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_11_37374687.V2,34.26,2.94,0.014720896492739225
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_14_37374687.V2,68.513,5.088,0.04873294903263174
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_X_20_3_37374687.V2,9.659,0.645,0.001097071637901135
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_5_37374687.V2,14.46,1.184,0.0023389761008568936
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_2_37374687.V2,12.635,1.048,0.0019706164024311445
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_7_37374687.V2,27.284,2.123,0.008005101493281137
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_X_20_13_37374687.V2,32.844,2.112,0.01719034441789831
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_X_20_1_37374687.V2,7.105,0.648,0.000967845289537568
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_4_37374687.V2,13.261,1.003,0.0021061196343868677
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_15_37374687.V2,54.2,4.569,0.04495379081986961
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_8_37374687.V2,24.178,2.204,0.007635718188489058
23416,Borrego Springs Earthquake of 10 Jun 2016,GM_Y_20_10_37374687.V2,36.092,3.03,0.015236091028941202
23416,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_20_8_38443183.V2,9.295,1.205,0.005104927335227515
23416,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_20_10_38443183.V2,16.372,1.663,0.011319043196033628
23416,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_20_15_38443183.V2,18.371,1.804,0.02486783936795133
23416,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_20_4_38443183.V2,5.373,0.697,0.0016886994601876032
23416,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_20_7_38443183.V2,13.124,1.323,0.0060598545599901835
23416,Ridgecrest Earthquake of 04 Jul 2019,GM_X_20_13_38443183.V2,28.914,2.292,0.032636505179758225
